iter	MAPE	RMSE	R2	MAE
61	1.374073986	2204203.681	0.6618949268	1451487.098
62	1.362600934	2189516.451	0.6663856941	1440388.115
63	1.351413445	2174253.55	0.6710206668	1428879.752
64	1.338517455	2158667.379	0.6757203482	1416778.935
65	1.327656862	2143848.66	0.6801572664	1405436.036
66	1.315181746	2128843.439	0.6846188828	1393902.903
67	1.303486827	2113880.139	0.6890368284	1382163.392
68	1.292792926	2099152.654	0.6933547193	1371193.998
69	1.282846223	2085010.463	0.6974725981	1361234.761
70	1.272035479	2071471.463	0.7013887608	1350990.343
71	1.262538193	2056389.399	0.7057212157	1340508.786
72	1.250504631	2042329.368	0.7097315691	1330274.97
73	1.23904282	2029078.286	0.7134860006	1319672.718
74	1.228644138	2015979.22	0.7171733412	1310115.481
75	1.216374945	2001977.416	0.7210883927	1298958.015
76	1.206877067	1988549.074	0.7248174654	1289757.612
77	1.197277337	1975531.854	0.7284084123	1280422.876
78	1.186572775	1963660.835	0.7316626064	1270777.909
79	1.176720711	1949576.622	0.7354980626	1260525.089
80	1.165864473	1938474.644	0.738501929	1251916.54
81	1.155074213	1926758.452	0.7416533789	1242502.862
82	1.14491075	1914211.615	0.7450070728	1233226.553
83	1.134142387	1902940.598	0.748001066	1224241.106
84	1.125333873	1891572.289	0.7510029932	1215543.115
85	1.116741334	1879747.036	0.7541064948	1207155.997
86	1.106687248	1867951.038	0.7571829283	1197600.646
87	1.09610202	1856527.923	0.7601436549	1189433.117
88	1.086287428	1845245.73	0.7630500297	1181233.216
89	1.077403062	1834166.879	0.7658867822	1173193.253
90	1.069069739	1825335.014	0.7681359542	1166182.475
91	1.061357798	1815502.935	0.7706270758	1158773.697
92	1.051595524	1805400.366	0.7731727158	1150856.582
93	1.041627678	1792584.988	0.7763814892	1141378.105
94	1.033586141	1783234.603	0.7787082587	1133769.807
95	1.02490082	1773419.861	0.7811374897	1125936.207
96	1.017367974	1763643.454	0.7835439035	1118852.136
97	1.009244225	1754018.975	0.7858999273	1110846.031
98	1.000065817	1743669.181	0.7884191179	1102800.143
99	0.9922196387	1734392.229	0.7906645027	1095951.083
100	0.9836904207	1724594.295	0.7930229797	1088729.242
101	0.9749686864	1715783.978	0.7951323166	1081809.377
102	0.966489308	1706349.382	0.7973791376	1074706.783
103	0.959230865	1697790.595	0.7994066704	1068532.557
104	0.9510647913	1689031.679	0.8014710568	1061494.556
105	0.9429102435	1681311.804	0.803281699	1055297.252
106	0.9344907957	1672753.75	0.8052792362	1048632.104
107	0.9283827045	1665085.054	0.8070605281	1043112.663
108	0.9210706157	1655484.481	0.8092790206	1036962.149
109	0.9133341445	1646954.561	0.8112393453	1030759.024
110	0.9051113769	1638514.123	0.8131691375	1024418.234
111	0.8966977525	1630899.762	0.8149015513	1018032.641
112	0.8886855826	1623366.187	0.8166076431	1012100.103
113	0.8820214945	1614802.696	0.8185373821	1006690.531
114	0.8764332338	1607904.034	0.8200845374	1002603.506
115	0.8696970997	1599129.253	0.8220428768	996483.1381
116	0.8632673816	1590495.694	0.8239592396	991173.114
117	0.855860649	1583543.975	0.8254947501	986149.927
118	0.8485141666	1576071.184	0.827137855	980675.9467
119	0.842950319	1569915.431	0.8284855334	976101.9658
120	0.8359727558	1562376.045	0.8301289453	970677.9079
121	0.82890472	1554038.586	0.8319371066	965219.6741
122	0.8235158843	1547725.121	0.8332998834	960594.8381
123	0.8174862596	1542088.967	0.8345117741	956449.9519
124	0.8116524249	1535408.308	0.8359425288	952198.6768
125	0.8053182129	1528306.529	0.8374566607	946997.0273
126	0.8001844182	1520862.755	0.839036173	942554.8524
127	0.7940791085	1514982.596	0.8402784456	937934.5254
128	0.7883664737	1508719.203	0.8415963893	933685.6668
129	0.7824630978	1501729.462	0.8430607248	929161.7113
130	0.7767446825	1496310.061	0.8441913974	925293.9923
131	0.7714739274	1490884.681	0.845319223	921501.0344
132	0.7653783131	1485950.398	0.8463414023	917490.7316
133	0.7588993783	1479733.438	0.8476244745	912700.1763
134	0.7540231555	1474439.427	0.8487128255	909034.0847
135	0.7491264659	1468242.745	0.849981794	905166.73
136	0.7445017777	1461512.581	0.8513539556	901275.5264
137	0.7390177195	1456639.848	0.8523434852	897670.6289
138	0.7343064147	1451506.118	0.853382442	894235.9023
139	0.7293730327	1444842.671	0.8547255101	889986.3377
140	0.7243930148	1439235.892	0.8558508113	886020.8398
141	0.7201728432	1433309.853	0.857035433	882825.6137
142	0.7141295489	1428315.783	0.8580299579	878828.7635
143	0.7090069702	1423502.388	0.858985218	875382.1577
144	0.7053081314	1419445.831	0.859787773	872841.4681
145	0.7009126384	1414488.054	0.8607655163	870043.3763
146	0.6959169773	1409373.074	0.8617706771	866328.7231
147	0.6920486211	1403332.673	0.8629530061	863180.5067
148	0.6864980023	1398968.246	0.8638041249	859682.3244
149	0.6815505312	1393778.25	0.8648127896	856563.7438
150	0.6759040332	1388718.243	0.8657925818	852773.4827
151	0.6710323467	1384783.829	0.8665519576	849635.7738
152	0.6662352783	1379540.52	0.8675606128	846461.5069
153	0.6623310427	1374296.107	0.8685656527	843446.226
154	0.6576538598	1369738.698	0.8694359264	840104.62
155	0.6540205483	1364860.104	0.8703643293	837083.0997
156	0.6492755395	1360530.53	0.8711854787	834002.2206
157	0.644151005	1356401.048	0.8719662477	830699.7374
158	0.6403834001	1351827.397	0.8728282264	827400.8122
159	0.6356892195	1348224.137	0.8735052688	824590.2818
160	0.632390472	1342665.495	0.874546178	821632.7761
161	0.6279685244	1338512.999	0.8753209666	818786.9028
162	0.6251046494	1334007.016	0.8761589951	816414.1652
163	0.6218549463	1330805.176	0.8767527599	814311.2916
164	0.6186797189	1326110.467	0.8776207898	811529.9696
165	0.6143178019	1322314.904	0.8783203292	808670.9778
166	0.6100881871	1318430.917	0.8790340898	805694.3226
167	0.6072895397	1314832.035	0.8796935827	803808.8725
168	0.60332389	1309898.934	0.8805946412	800861.8015
169	0.5995312945	1306531.436	0.8812077885	798229.3633
170	0.5953969896	1303371.663	0.8817816783	795751.217
171	0.5924727628	1298543.522	0.8826558995	793142.9776
172	0.5883725348	1295704.74	0.883168397	790668.0999
173	0.5846285156	1292281.866	0.8837848517	788106.625
174	0.5814033728	1289159.107	0.8843458336	785869.5202
175	0.5778704877	1285703.964	0.8849649445	783403.9951
176	0.5753394895	1282520.058	0.8855339827	781372.2685
177	0.5717846689	1279030.084	0.8861561014	778897.2951
178	0.5680478474	1275870.759	0.8867178171	776355.2406
179	0.5645465417	1271568.318	0.8874805404	773955.2088
180	0.5611945144	1268393.517	0.8880417072	771834.7374
181	0.5588867455	1265395.163	0.8885703978	769968.6054
182	0.5561947856	1261067.742	0.8893312324	767510.4749
183	0.5525163961	1258734.916	0.8897403019	765203.1415
184	0.5490257449	1256421.353	0.8901452455	763051.6171
185	0.5456038264	1253953.585	0.8905763586	760765.2936
186	0.5430329993	1250026.234	0.8912607093	758784.5549
187	0.5404855	1246509.46	0.8918716943	756590.4189
188	0.5379027763	1242893.177	0.8924981722	754586.1401
189	0.5354128727	1240174.657	0.892967925	752990.5278
190	0.5333157177	1237144.691	0.8934902826	751425.3688
191	0.5308175444	1234274.358	0.8939839415	749637.8918
192	0.5277311854	1231811.923	0.8944065335	747748.3556
193	0.5247550675	1229229.003	0.8948488958	745769.2452
194	0.5216734247	1226468.125	0.8953207092	743530.3941
195	0.518435858	1224304.733	0.8956896753	741357.0621
196	0.5149429957	1221053.661	0.8962429202	739009.85
197	0.5123604245	1219116.308	0.8965719059	737529.1562
198	0.5095844975	1216169.204	0.8970713577	735927.9694
199	0.5064523472	1214445.87	0.8973628546	734203.7013
200	0.504539723	1211537.863	0.8978537981	732824.5943
201	0.5017816646	1208522.075	0.8983616946	730925.3572
202	0.4989540441	1205908.593	0.8988008139	729089.4987
203	0.4965066578	1203380.928	0.8992246096	727360.88
204	0.4937772544	1200494.791	0.8997074208	725513.9164
205	0.4918271742	1197881.533	0.9001435828	724097.9568
206	0.4894485028	1195311.35	0.9005716284	722358.1863
207	0.4864666189	1193350.707	0.9008975411	720716.7756
208	0.4843470922	1190388.953	0.9013888517	719125.2298
209	0.4828452662	1188714.789	0.9016660303	717910.8128
210	0.4803271606	1187407.774	0.9018821515	716464.6348
211	0.4785711133	1184376.618	0.902382453	714881.506
212	0.4759809812	1182759.376	0.9026488605	713493.6028
213	0.4731674422	1180672.128	0.9029921538	711889.5111
214	0.4704227106	1179092.366	0.9032515768	710370.3119
215	0.4680559555	1177020.996	0.9035912038	708990.1432
216	0.4656849819	1175077.009	0.9039094014	708135.3642
217	0.4641671023	1172614.662	0.9043116908	706827.3434
218	0.4616573407	1171264.974	0.9045318399	705464.0554
219	0.4595514611	1168565.81	0.904971343	703957.3718
220	0.4571970963	1167316.168	0.905174478	702791.6183
221	0.4555076778	1165046.151	0.9055429236	701376.6051
222	0.4532979292	1163343.101	0.9058188742	699918.8823
223	0.4513542787	1161741.176	0.9060780707	698772.4864
224	0.4493842157	1159626.565	0.9064196745	697566.294
225	0.4476357823	1158461.426	0.9066076303	696565.4802
226	0.4452374894	1156820.074	0.9068720864	695257.9599
227	0.4434592781	1155041.557	0.9071582196	694143.9135
228	0.4419012017	1152326.117	0.9075942384	692944.5978
229	0.4405421021	1150635.293	0.907865216	691776.2849
230	0.4390779564	1148406.935	0.9082217328	690827.0371
231	0.4378558207	1146089.532	0.9085917631	689844.1284
232	0.4362164861	1144453.956	0.908852473	688764.2381
233	0.4336777145	1143337.733	0.9090301845	687508.7127
234	0.4320600197	1141666.449	0.9092959421	686378.0898
235	0.4299498629	1140484.751	0.9094836139	685186.6367
236	0.4278269704	1139358.324	0.909662327	684109.3013
237	0.4267981155	1137436.91	0.9099667609	683330.6217
238	0.4247973245	1136650.677	0.9100911857	682306.1838
239	0.4229257073	1135773.015	0.9102299778	681448.3051
240	0.4217704666	1134479.422	0.9104343492	680636.6545
241	0.4200275761	1132684.917	0.9107174726	679560.8645
242	0.4179873945	1131473.598	0.9109083322	678280.3551
243	0.4166342569	1130330.593	0.9110882404	677442.1981
244	0.415625643	1128310.626	0.9114057376	676363.6985
245	0.4138086152	1127252.866	0.9115717691	675615.0898
246	0.4126203302	1125336.178	0.9118722256	674844.8041
247	0.4113976864	1124188.99	0.9120518122	674079.6663
248	0.4102596773	1122374.45	0.9123354953	673381.2247
249	0.4092616199	1121400.083	0.9124876374	672847.5938
250	0.4081127742	1119136.638	0.9128405526	671810.6207
251	0.4065129756	1118015.091	0.9130151595	670920.0612
252	0.4045354235	1117132.964	0.9131523695	670056.7139
253	0.4036226694	1115350.491	0.9134292926	669448.9781
254	0.4026292488	1113704.151	0.9136846736	668791.7674
255	0.4011106286	1112498.897	0.9138713939	667924.3012
256	0.4003424772	1110764.089	0.9141397988	667279.3924
257	0.3986620847	1110012.874	0.9142558949	666602.2114
258	0.396843484	1109201.174	0.9143812503	665798.9754
259	0.3957339646	1108273.958	0.9145243332	665112.8646
260	0.395181278	1106863.797	0.9147417122	664687.8624
261	0.3951689501	1106698.022	0.9147672487	664647.7738
262	0.3939054251	1104579.196	0.9150933006	663735.9668
263	0.3929045673	1102771.291	0.9153710128	662875.5236
264	0.3913953655	1101521.139	0.9155627826	661927.9427
265	0.3899559567	1100783.01	0.9156759074	661238.573
266	0.3884872724	1100038.579	0.9157899212	660548.0522
267	0.3870465034	1099219.69	0.9159152497	659836.3341
268	0.3862995118	1098563.004	0.9160156861	659350.0464
269	0.385603729	1097595.722	0.9161635168	658682.0092
270	0.3842458618	1096837.213	0.9162793497	657998.866
271	0.3830267734	1095458.042	0.9164897592	657323.5838
272	0.3823597669	1093778.277	0.9167456704	656716.6544
273	0.3813921824	1092091.505	0.9170022539	655924.4554
274	0.3798107224	1090824.695	0.9171946947	655282.2514
275	0.3791035635	1089441.548	0.9174045529	654768.5203
276	0.3785276726	1088154.146	0.917599645	654241.7573
277	0.3770658392	1087625.588	0.9176796755	653609.1783
278	0.3758147925	1086479.71	0.9178530429	652907.4026
279	0.3752773204	1084969.549	0.9180812457	652305.8491
280	0.3737878685	1083978.974	0.9182307609	651438.8588
281	0.3727345315	1083245.298	0.9183414121	650807.717
282	0.3720344598	1081549.487	0.9185968835	650097.1099
283	0.3710742227	1080410.542	0.9187682394	649340.4283
284	0.3705134569	1079705.242	0.9188742621	648906.3797
285	0.3698810024	1078808.191	0.9190090094	648387.7028
286	0.3690919695	1077402.043	0.9192200035	647889.8656
287	0.3687487377	1076859.28	0.9193013721	647667.2358
288	0.3678093385	1076069.093	0.9194197602	647011.8841
289	0.3669294769	1074635.502	0.9196343229	646485.3926
290	0.3658707663	1073539.208	0.91979821	646013.4154
291	0.3651140592	1071776.68	0.920061343	645287.755
292	0.3641943684	1071176.653	0.9201508244	644917.3069
293	0.3635837633	1070328.031	0.9202772925	644403.9529
294	0.3625080315	1069768.575	0.9203606122	643872.9693
295	0.3614209412	1068877.712	0.9204931984	643190.7082
296	0.3605426031	1068214.653	0.920591809	642649.1988
297	0.3596633445	1066773.065	0.9208059919	641950.0725
298	0.3590275019	1066259.189	0.9208822707	641595.7404
299	0.358627781	1065507.176	0.920993832	641158.7125
300	0.3573964444	1064642.92	0.9211219472	640569.1766
301	0.3567816017	1062904.761	0.9213792929	639984.4529
302	0.3562880231	1061976.468	0.9215165605	639720.4619
303	0.3559274403	1060789.701	0.9216918742	639045.4839
304	0.3553259058	1059792.584	0.9218390205	638419.0813
305	0.354886964	1058893.688	0.9219715537	638201.1478
306	0.3539356112	1057213.389	0.9222189951	637516.7994
307	0.353625331	1055272.134	0.9225043759	636909.43
308	0.3531192571	1054192.309	0.9226628921	636362.5046
309	0.3518160773	1053438.136	0.922773507	635608.8215
310	0.3510729187	1052511.176	0.9229093562	635217.2914
